"REF_DATE","GEO","DGUID","Population and dwelling counts (3)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","B0C","2021A0011B0C","Population, 2021","","0","units","0","","37.1","2748","","","","0"
"2021","B0C","2021A0011B0C","Total private dwellings, 2021","","0","units","0","","37.2","1808","","","","0"
"2021","B0C","2021A0011B0C","Private dwellings occupied by usual residents, 2021","","0","units","0","","37.3","1235","","","","0"
"2021","B0E","2021A0011B0E","Population, 2021","","0","units","0","","38.1","25919","","","","0"
"2021","B0E","2021A0011B0E","Total private dwellings, 2021","","0","units","0","","38.2","14977","","","","0"
"2021","B0E","2021A0011B0E","Private dwellings occupied by usual residents, 2021","","0","units","0","","38.3","11613","","","","0"
"2021","B0H","2021A0011B0H","Population, 2021","","0","units","0","","39.1","9796","","","","0"
"2021","B0H","2021A0011B0H","Total private dwellings, 2021","","0","units","0","","39.2","5595","","","","0"
"2021","B0H","2021A0011B0H","Private dwellings occupied by usual residents, 2021","","0","units","0","","39.3","4410","","","","0"
"2021","B0J","2021A0011B0J","Population, 2021","","0","units","0","","40.1","41032","","","","0"
"2021","B0J","2021A0011B0J","Total private dwellings, 2021","","0","units","0","","40.2","23424","","","","0"
"2021","B0J","2021A0011B0J","Private dwellings occupied by usual residents, 2021","","0","units","0","","40.3","18777","","","","0"
"2021","B0K","2021A0011B0K","Population, 2021","","0","units","0","","41.1","35141","","","","0"
"2021","B0K","2021A0011B0K","Total private dwellings, 2021","","0","units","0","","41.2","20031","","","","0"
"2021","B0K","2021A0011B0K","Private dwellings occupied by usual residents, 2021","","0","units","0","","41.3","15903","","","","0"
"2021","B0L","2021A0011B0L","Population, 2021","","0","units","0","","42.1","2335","","","","0"
"2021","B0L","2021A0011B0L","Total private dwellings, 2021","","0","units","0","","42.2","1435","","","","0"
"2021","B0L","2021A0011B0L","Private dwellings occupied by usual residents, 2021","","0","units","0","","42.3","1082","","","","0"
"2021","B0M","2021A0011B0M","Population, 2021","","0","units","0","","43.1","17448","","","","0"
"2021","B0M","2021A0011B0M","Total private dwellings, 2021","","0","units","0","","43.2","10120","","","","0"
"2021","B0M","2021A0011B0M","Private dwellings occupied by usual residents, 2021","","0","units","0","","43.3","7844","","","","0"
"2021","B0N","2021A0011B0N","Population, 2021","","0","units","0","","44.1","40484","","","","0"
"2021","B0N","2021A0011B0N","Total private dwellings, 2021","","0","units","0","","44.2","19211","","","","0"
"2021","B0N","2021A0011B0N","Private dwellings occupied by usual residents, 2021","","0","units","0","","44.3","17411","","","","0"
"2021","B0P","2021A0011B0P","Population, 2021","","0","units","0","","45.1","41544","","","","0"
